Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU00960-MONOMER		23S rRNA (Gm2251)-methyltransferase	BSU00960	CCI-CYTOSOL-GP	BSU00960
BSU36350-MONOMER		putative two-component sensor histidine kinase	BSU36350	CCI-PM-BAC-POS-GP	BSU36350
BSU01100-MONOMER		ribosomal protein S12 (BS12)	BSU01100	CCI-RIBOSOME-GP	BSU01100
BSU23420-MONOMER		mechanosensitive channel; stage V sporulation protein AC	BSU23420	CCI-PM-BAC-POS-GP	BSU23420
BSU18110-MONOMER		conserved hypothetical protein	BSU18110	CCI-PM-BAC-POS-GP	BSU18110
BSU10750-MONOMER		hydrolase/isomerase involved in remodelling the bacterial envelope	BSU10750		BSU10750
BSU36490-MONOMER		putative enzyme of isochorismatase family	BSU36490		BSU36490
BSU27090-MONOMER		small amino acid permease	BSU27090	CCI-PM-BAC-POS-GP	BSU27090
BSU39990-MONOMER		QdoR transcriptional repressor	BSU39990		BSU39990
BSU11730-MONOMER		spore outer coat protein	BSU11730		BSU11730
BSU18240-MONOMER		biotin carboxylase for subunit LdeHB of methylcrotonyl-CoA carboxylase	BSU18240		BSU18240
BSU05070-MONOMER		putative hydrolase	BSU05070		BSU05070
BSU21620-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21620		BSU21620
BSU25260-MONOMER		glycyl-tRNA synthetase (beta subunit)	BSU25260	CCI-CYTOSOL-GP	BSU25260
BSU10890-MONOMER		conserved hypothetical protein	BSU10890		BSU10890
BSU17040-MONOMER		DNA mismatch repair recognition factor	BSU17040	CCI-CYTOSOL-GP	BSU17040
BSU15200-MONOMER		UDP-N-acetylmuramoylalanyl-D-glutamate ligase	BSU15200	CCI-CYTOSOL-GP	BSU15200
BSU28940-MONOMER		phosphoserine phosphatase	BSU28940		BSU28940
BSU40120-MONOMER		glucose phosphotransferase system enzyme IIA component	BSU40120	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU40120
BSU30760-MONOMER		Mn<sup>2+</sup> ABC transporter ATP-binding protein	BSU30760	CCI-PM-BAC-POS-GP	BSU30760
BSU32570-MONOMER		fructosamine kinase	BSU32570		BSU32570
BSU06850-MONOMER		spore inner coat protein	BSU06850		BSU06850
BSU11860-MONOMER		putative stress-related hydrolase	BSU11860		BSU11860
BSU34330-MONOMER		bifunctional flagellar clutch and glycosyltransferase acting during biofilm formation	BSU34330		BSU34330
BSU00800-MONOMER		putative transcriptional regulator	BSU00800		BSU00800
BSU36200-MONOMER		conserved protein of unknown function	BSU36200		BSU36200
BSU21770-MONOMER		threonine dehydratase	BSU21770		BSU21770
BSU08720-MONOMER		peroxiredoxin with versatile activity	BSU08720	CCI-CYTOSOL-GP	BSU08720
BSU10590-MONOMER		putative transcription factor	BSU10590	CCO-CE-BAC	BSU10590
BSU39830-MONOMER		conserved protein of unknown function	BSU39830	CCI-PM-BAC-POS-GP	BSU39830
BSU25390-MONOMER		putative membrane bound peptidase of unkwnown function	BSU25390	CCI-PM-BAC-POS-GP	BSU25390
BSU02619-MONOMER		conserved protein of unknown function	BSU02619		BSU02619
BSU11570-MONOMER		bifunctional muramidase and murein lytic transglycosylase	BSU11570	CCI-EXTRACELLULAR-GP // CCI-PM-BAC-POS-GP	BSU11570
BSU21460-MONOMER		bacteriophage SPbeta thiol-disulfide oxidoreductase	BSU21460	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP	BSU21460
BSU15340-MONOMER		ABC family transporter ATP-binding protein YlmA	BSU15340	CCI-PM-BAC-POS-GP	BSU15340
BSU38000-MONOMER		putative integral inner membrane protein of unknown function	BSU38000	CCI-PM-BAC-POS-GP	BSU38000
BSU15050-MONOMER		putative degradative enzyme	BSU15050	CCI-PM-BAC-POS-GP	BSU15050
BSU28770-MONOMER		glycolytic and pentose phosphate intermediates phosphatase	BSU28770		BSU28770
BSU29080-MONOMER		formamidopyrimidine-DNA glycosylase; 5-hydroxymethyl-uracil DNA-glycosylase	BSU29080		BSU29080
BSU19660-MONOMER		conserved hypothetical protein	BSU19660		BSU19660
BSU32420-MONOMER		transcriptional regulator of the purine degradation operon	BSU32420		BSU32420
BSU06710-MONOMER		surfactin exporter involved in surfactin self-resistance	BSU06710	CCI-PM-BAC-POS-GP	BSU06710
BSU32700-MONOMER		Fe-S cluster assembly protein SufD	BSU32700		BSU32700
BSU36079-MONOMER		doubtful CDS (putative in frame frameshift)	BSU36079		BSU36079
BSU00640-MONOMER		SpoIIAA-phosphate serine phosphatase	BSU00640	CCI-PM-BAC-POS-GP	BSU00640
BSU36040-MONOMER		conserved protein of unknown function	BSU36040		BSU36040
BSU06990-MONOMER		putative carbohydrate ABC transporter membrane subunit YesQ	BSU06990	CCI-PM-BAC-POS-GP	BSU06990
BSU13260-MONOMER		two-component sensor histidine kinase [YkoG]	BSU13260	CCI-PM-BAC-POS-GP	BSU13260
BSU10430-MONOMER		putative oxidoreductase	BSU10430		BSU10430
BSU39670-MONOMER		2-deoxy-5-keto-D-gluconic acid 6-phosphate aldolase	BSU39670		BSU39670
BSU00940-MONOMER		dual cysteinyl-tRNA synthetase; cysteine persulfide synthase	BSU00940	CCI-CYTOSOL-GP	BSU00940
BSU23260-MONOMER		fused 3,4-dihydroxy-2-butanone 4-phosphate synthase and GTP cyclohydrolase II	BSU23260	CCI-CYTOSOL-GP	BSU23260
BSU11420-MONOMER		tryptophanyl-tRNA synthetase	BSU11420	CCI-CYTOSOL-GP	BSU11420
BSU21310-MONOMER		hypothetical protein; phage SPbeta	BSU21310		BSU21310
BSU36330-MONOMER		conserved protein of unknown function	BSU36330		BSU36330
BSU26930-MONOMER		conserved protein of unknown function	BSU26930		BSU26930
BSU14890-MONOMER		cytochrome caa3 oxidase (subunit II)	BSU14890	CCI-PM-BAC-POS-GP	BSU14890
BSU24970-MONOMER		phosphate ABC transporter membrane subunit PstA	BSU24970	CCI-PM-BAC-POS-GP	BSU24970
BSU18090-MONOMER		subunit B of DNA topoisomerase IV (ATP-dependent)	BSU18090		BSU18090
BSU04910-MONOMER		ICEBs1 mobile element: subunit of the conjugation machinery VirB8	BSU04910	CCI-PM-BAC-POS-GP	BSU04910
BSU28610-MONOMER		Z ring-associated protein	BSU28610	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU28610
BSU06559-MONOMER		hypothetical protein	BSU06559	CCI-PM-BAC-POS-GP	BSU06559
BSU10730-MONOMER		Spo0A-P phosphatase (iron-metabolism related)	BSU10730		BSU10730
BSU16860-MONOMER		putative processing protease	BSU16860		BSU16860
BSU00480-MONOMER		aminoacrylate/iminopropionate hydrolase/deaminase	BSU00480	CCI-CYTOSOL-GP	BSU00480
BSU32290-MONOMER		5' nucleotidase, promiscuous	BSU32290		BSU32290
BSU39970-MONOMER		integral inner membrane protein involved in response to flavonoids	BSU39970	CCI-PM-BAC-POS-GP	BSU39970
BSU30610-MONOMER		putative ABC transporter ATP-binding protein YtlC	BSU30610	CCI-PM-BAC-POS-GP	BSU30610
BSU35880-MONOMER		capsular polyglutamate synthetase (acid resistance)	BSU35880		BSU35880
BSU10270-MONOMER		long-chain fatty-acid-CoA ligase (degradative)	BSU10270		BSU10270
BSU11710-MONOMER		phosphomethylpyrimidine kinase, 4-amino-5-hydroxymethyl-2-methylpyrimidine and 4-amino-5-hydroxymethyl-2-methylpyrimidine pyrophosphate kinase	BSU11710	CCI-CYTOSOL-GP	BSU11710
BSU34160-MONOMER		polygalactose / cyclodextrin-binding lipoprotein	BSU34160	CCI-PM-BAC-POS-GP	BSU34160
BSU39510-MONOMER		<i>S</i>-(2-succino)cysteine <i>N</i>-acetyltransferase	BSU39510		BSU39510
BSU11250-MONOMER		ornithine carbamoyltransferase	BSU11250	CCI-CYTOSOL-GP	BSU11250
BSU21600-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21600		BSU21600
CPLX8J2-229		L-cystine ABC transporter	BSU03590 // BSU03600 // BSU03610		
BSU08560-MONOMER		conserved hypothetical protein	BSU08560		BSU08560
BSU21160-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21160		BSU21160
BSU25240-MONOMER		bifunctional ADP-dependent kinase-Pi-dependent pyrophosphorylase / positive regulator of gluconeogenesis	BSU25240		BSU25240
BSU14730-MONOMER		RNA polymerase ECF-type sigma factor	BSU14730		BSU14730
CPLX8J2-214			BSU30220		
BSU02460-MONOMER		5-dehydro-4-deoxyglucarate dehydratase	BSU02460		BSU02460
BSU24810-MONOMER		conserved protein of unknown function	BSU24810		BSU24810
BSU28440-MONOMER		succinate dehydrogenase (flavoprotein subunit)	BSU28440	CCI-PM-BAC-POS-GP	BSU28440
BSU15180-MONOMER		UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase	BSU15180	CCI-CYTOSOL-GP	BSU15180
CPLX8J2-2		nitrate reductase	BSU37250 // BSU37270 // BSU37280		
BSU37840-MONOMER		glucose-1-phosphate thymidylyltransferase	BSU37840		BSU37840
BSU06400-MONOMER		conserved hypothetical protein	BSU06400	CCI-PM-BAC-POS-GP	BSU06400
BSU00320-MONOMER		subunit of a sporulation, competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two [4Fe-4S]2+)	BSU00320	CCI-CYTOSOL-GP	BSU00320
BSU28920-MONOMER		LytT two-component response regulator	BSU28920	CCI-CYTOSOL-GP	BSU28920
CPLX8J2-184			BSU30240		
BSU19520-MONOMER		putative H+/anion permease	BSU19520	CCI-PM-BAC-POS-GP	BSU19520
BSU32130-MONOMER		GMP reductase (NADP-dependent)	BSU32130		BSU32130
BSU35720-MONOMER		CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase (poly(glycerol phosphate) polymerase)	BSU35720	CCI-PM-BAC-POS-GP	BSU35720
BSU32550-MONOMER		ABC transporter ATP-binding protein YurJ	BSU32550	CCI-PM-BAC-POS-GP	BSU32550
CPLX8J2-168			BSU32690		
BSU26935-MONOMER		hypothetical protein	BSU26935		BSU26935
BSU10100-MONOMER		heme-degrading monooxygenase	BSU10100	CCI-CYTOSOL-GP	BSU10100
BSU11100-MONOMER		extracellular neutral protease B	BSU11100	CCI-EXTRACELLULAR-GP	BSU11100
BSU06839-MONOMER		hexapeptide (TDRNTT) inhibitor of regulatory cascade	BSU06839	CCI-EXTRACELLULAR-GP	BSU06839
CPLX8J2-146			BSU17460		
BSU13110-MONOMER		formyltetrahydrofolate hydrolase	BSU13110		BSU13110
BSU39380-MONOMER		formiminoglutamate hydrolase	BSU39380		BSU39380
BSU21000-MONOMER		toxin; phage SPbeta	BSU21000	CCI-PM-BAC-POS-GP	BSU21000
BSU00780-MONOMER		dihydroneopterin aldolase	BSU00780	CCI-CYTOSOL-GP	BSU00780
CPLX8J2-126		transaldolase	BSU37110		
BSU23100-MONOMER		RNA polymerase ECF(extracytoplasmic function)-type sigma factor sigma(X)	BSU23100	CCI-PM-BAC-POS-GP	BSU23100
BSU14580-MONOMER		pyruvate dehydrogenase (E1 alpha subunit)	BSU14580		BSU14580
BSU24650-MONOMER		putative exported protein	BSU24650		BSU24650
BSU36180-MONOMER		putative ribonuclease antitoxin	BSU36180		BSU36180
CPLX8J2-108		GerK germination receptor	BSU03710 // BSU03720 // BSU03700		
BSU26770-MONOMER		putative integral inner membrane protein	BSU26770	CCI-PM-BAC-POS-GP	BSU26770
BSU28280-MONOMER		2-isopropylmalate synthase	BSU28280	CCI-CYTOSOL-GP	BSU28280
BSU06260-MONOMER		putative membrane protein	BSU06260		BSU06260
BSU10570-MONOMER		putative integral inner membrane protein (recent HGT island)	BSU10570	CCI-PM-BAC-POS-GP	BSU10570
CPLX-8649		inositol dehydrogenase	BSU39700		
BSU04760-MONOMER		conserved protein of unknown function	BSU04760		BSU04760
BSU00160-MONOMER		spore peptidoglycan N-acetylglucosaminidase	BSU00160		BSU00160
BSU31970-MONOMER		isochorismatase (siderophore specific)	BSU31970		BSU31970
BSU39810-MONOMER		putative metabolite transporter	BSU39810	CCI-PM-BAC-POS-GP	BSU39810
CPLX8J2-85		SpoIIIAH-SpoIIQ complex	BSU36550 // BSU24360		
BSU16690-MONOMER		polynucleotide phosphorylase (PNPase)	BSU16690	CCI-CYTOSOL-GP	BSU16690
BSU35550-MONOMER		putative glycosyltransferase (teichuronic acid)	BSU35550		BSU35550
BSU09950-MONOMER		molecular chaperone lipoprotein	BSU09950	CCI-PM-BAC-POS-GP	BSU09950
BSU11550-MONOMER		thiol management effector of SpxA degradation	BSU11550	CCI-CYTOSOL-GP	BSU11550
CPLX8J2-7		succinyl-CoA synthetase	BSU16090 // BSU16100		
BSU30440-MONOMER		putative ABC transporter membrane protein YtrC	BSU30440	CCI-PM-BAC-POS-GP	BSU30440
BSU03810-MONOMER		iron(III)-petrobactin ABC transporter membrane subunit FpiC	BSU03810	CCI-PM-BAC-POS-GP	BSU03810
BSU39230-MONOMER		cell wall-associated tRNA nuclease precursor; intercellular growth inhibitor	BSU39230	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU39230
BSU21440-MONOMER		thiol-disulfide oxidoreductase B; bacteriophage SPbeta	BSU21440	CCI-PM-BAC-POS-GP	BSU21440
CPLX8J2-52		RNA polymerase, &sigma;A	BSU25200 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU34000-MONOMER		cysteine and O-acetylserine efflux permease	BSU34000	CCI-PM-BAC-POS-GP	BSU34000
BSU20870-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20870		BSU20870
BSU14430-MONOMER		putative energy-sensing inhibitor of translation	BSU14430		BSU14430
BSU15030-MONOMER		dipicolinic acid transporter (to the spore)	BSU15030	CCI-PM-BAC-POS-GP	BSU15030
CPLX8J2-38		iron(III)-petrobactin ABC transporter	BSU03830 // BSU03820 // BSU03810 // BSU03800		
BSU08390-MONOMER		bacillithiol <i>S</i>-transferase	BSU08390	CCI-CYTOSOL-GP	BSU08390
BSU24490-MONOMER		conserved protein of unknown function	BSU24490	CCI-PM-BAC-POS-GP	BSU24490
BSU28120-MONOMER		glutamate-1-semialdehyde 2,1-aminomutase	BSU28120	CCI-CYTOSOL-GP	BSU28120
BSU25110-MONOMER		putative integral inner membrane protein	BSU25110	CCI-PM-BAC-POS-GP	BSU25110
CPLX8J2-261			BSU22870		
BSU02300-MONOMER		conserved protein of unknown function	BSU02300		BSU02300
BSU06100-MONOMER		type-2 restriction enzyme BsuMI component BsuRB (YdiS); prophage region 3	BSU06100		BSU06100
BSU31800-MONOMER		putative integral inner membrane protein	BSU31800	CCI-PM-BAC-POS-GP	BSU31800
BSU28750-MONOMER		sugar-binding lipoprotein	BSU28750	CCI-PM-BAC-POS-GP	BSU28750
CPLX8J2-247			BSU32260		
BSU37680-MONOMER		cyclohexenol-containing tetrahydro-4-hydroxyphenylpyruvate H(4)HPP in bacilysin synthesis	BSU37680	CCI-CYTOSOL-GP	BSU37680
BSU35390-MONOMER		conserved protein of unknown function	BSU35390		BSU35390
BSU09790-MONOMER		conserved hypothetical protein	BSU09790	CCI-PM-BAC-POS-GP	BSU09790
BSU32400-MONOMER		conserved protein of unknown function	BSU32400		BSU32400
CPLX8J2-243		putative subtilosin ABC efflux transporter	BSU37400 // BSU37390		
BSU19360-MONOMER		2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, E2 subunit)	BSU19360	CCI-CYTOSOL-GP	BSU19360
BSU03670-MONOMER		putative transporter DtpT	BSU03670	CCI-PM-BAC-POS-GP	BSU03670
BSU39070-MONOMER		endo-beta-1,3-1,4 glucanase	BSU39070	CCI-EXTRACELLULAR-GP	BSU39070
BSU06690-MONOMER		glutamyl-tRNA(Gln) amidotransferase (subunit B)	BSU06690		BSU06690
CPLX8J2-226		ABC transporter YxdLM	BSU39630 // BSU39640		
BSU18689-MONOMER		hypothetical protein	BSU18689	CCI-PM-BAC-POS-GP	BSU18689
BSU20710-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20710	CCI-PM-BAC-POS-GP	BSU20710
BSU14270-MONOMER		molybdopterin biosynthesis adenylyltransferase	BSU14270	CCI-CYTOSOL-GP	BSU14270
BSU00620-MONOMER		cell-division initiation protein	BSU00620		BSU00620
CPLX8J2-211		phage PBSX; lytic exoenzyme	BSU12780		
BSU12950-MONOMER		dipeptide ABC transporter ATP-binding protein	BSU12950	CCI-PM-BAC-POS-GP	BSU12950
BSU24330-MONOMER		modulator of lipid biosynthesis	BSU24330		BSU24330
BSU27970-MONOMER		membrane metalloprotease [proteolysis of pro-sigma(K)]	BSU27970	CCI-PM-BAC-POS-GP	BSU27970
BSU36020-MONOMER		transcriptional regulator controlling alsSD, ictEP expression (LysR family)	BSU36020		BSU36020
CPLX8J2-196			BSU31760		
BSU22920-MONOMER		spore germination membrane component	BSU22920		BSU22920
BSU05930-MONOMER		ribosomal protein S18 alanine N-acetyltransferase	BSU05930	CCI-CYTOSOL-GP	BSU05930
BSU17940-MONOMER		putative response regulator (CheY homolog)	BSU17940		BSU17940
BSU10410-MONOMER		conserved protein of unknown function	BSU10410		BSU10410
CPLX8J2-180			BSU19690		
BSU26610-MONOMER		putative membrane associated protein	BSU26610	CCI-PM-BAC-POS-GP	BSU26610
BSU31640-MONOMER		Na<sup>+</sup>:H<sup>+</sup> antiporter subunit E	BSU31640	CCI-PM-BAC-POS-GP	BSU31640
BSU35240-MONOMER		PDZ-containing carboxyl-terminal protease processing protease [Zn(II)]	BSU35240	CCO-CE-BAC	BSU35240
BSU39650-MONOMER		YxdK two-component sensory histidine kinase	BSU39650	CCI-PM-BAC-POS-GP // CCO-CE-BAC	BSU39650
CPLX8J2-165		K<sup>+</sup> transporter KtrAB	BSU31100 // BSU31090		
BSU04600-MONOMER		resistance to heterologous antibiotics	BSU04600	CCI-PM-BAC-POS-GP	BSU04600
BSU09630-MONOMER		conserved hypothetical protein	BSU09630		BSU09630
BSU03510-MONOMER		surfactin synthetase	BSU03510	CCI-CYTOSOL-GP	BSU03510
BSU11400-MONOMER		oligopeptide ABC transporter membrane subunit AppC	BSU11400	CCI-PM-BAC-POS-GP	BSU11400
CPLX8J2-143			BSU28720		
BSU16530-MONOMER		undecaprenyl pyrophosphate synthase	BSU16530	CCI-CYTOSOL-GP	BSU16530
BSU38900-MONOMER		two-component sensor histidine kinase [YxjL]	BSU38900	CCI-PM-BAC-POS-GP	BSU38900
BSU20550-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20550		BSU20550
BSU21290-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21290		BSU21290
CPLX8J2-123		6,7-dimethyl-8-ribityllumazine synthase	BSU23250		
BSU30280-MONOMER		&alpha;-galactoside ABC transporter membrane subunit MelD	BSU30280	CCI-PM-BAC-POS-GP	BSU30280
BSU14110-MONOMER		putative RNA-binding enzyme component	BSU14110		BSU14110
BSU24160-MONOMER		3-hydroxybutyryl-CoA dehydrogenase	BSU24160		BSU24160
BSU14870-MONOMER		heme <i>a</i> synthase	BSU14870	CCI-PM-BAC-POS-GP	BSU14870
CPLX8J2-105		dihydroorotate dehydrogenase	BSU15530 // BSU15540		
BSU33840-MONOMER		negative transcriptional regulator of choline uptake systems	BSU33840		BSU33840
BSU27810-MONOMER		sodium/proton-dependent alanine transporter	BSU27810	CCI-PM-BAC-POS-GP	BSU27810
BSU05760-MONOMER		conserved hypothetical protein	BSU05760	CCI-PM-BAC-POS-GP	BSU05760
BSU24950-MONOMER		phosphate ABC transporter ATP-binding protein PstBB	BSU24950	CCI-PM-BAC-POS-GP	BSU24950
CPLX-8352		glycine oxidase	BSU11670		
BSU08230-MONOMER		catechol-2,3-dioxygenase membrane subunit	BSU08230	CCI-PM-BAC-POS-GP	BSU08230
BSU17780-MONOMER		conserved hypothetical protein	BSU17780	CCI-PM-BAC-POS-GP	BSU17780
BSU31480-MONOMER		putative exporter induced in acid stress	BSU31480	CCI-PM-BAC-POS-GP	BSU31480
BSU28590-MONOMER		DNA polymerase/3'-5' exonuclease X	BSU28590		BSU28590
CPLX8J2-97		transcriptional regulator of GlcNAc catabolism gene expression (GntR family)	BSU35030		
BSU02140-MONOMER		sn-glycerol-3-phosphate permease	BSU02140	CCI-PM-BAC-POS-GP	BSU02140
BSU35070-MONOMER		cyclodipeptide synthase (tRNA-dependent), pulcherimminic acid precursor	BSU35070		BSU35070
BSU09460-MONOMER		amino acid transporter BcaP	BSU09460	CCI-PM-BAC-POS-GP	BSU09460
BSU06540-MONOMER		putative transcriptional regulator (Lrp/AsnC family)	BSU06540		BSU06540
CPLX8J2-82		ABC transporter PsdAB (lantibiotic resistance)	BSU34690 // BSU34700		
BSU37520-MONOMER		conserved protein of unknown function	BSU37520		BSU37520
BSU03359-MONOMER		hypothetical protein	BSU03359		BSU03359
BSU38740-MONOMER		ABC membrane transporter (ATP-binding protein) required for cytochrome bb' function (reductant efflux pump)	BSU38740	CCI-PM-BAC-POS-GP	BSU38740
BSU00460-MONOMER		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	BSU00460		BSU00460
CPLX8J2-66		Mn<sup>2+</sup> ABC transporter	BSU30740 // BSU30750 // BSU30760 // BSU30770		
BSU19210-MONOMER		exported cell wall lytic enzyme	BSU19210	CCI-PM-BAC-POS-GP // CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU19210
BSU20390-MONOMER		putative ATP/GTP binding protein; phage SPbeta	BSU20390		BSU20390
BSU13970-MONOMER		conserved hypothetical protein	BSU13970		BSU13970
BSU32270-MONOMER		spore coat-associated protein	BSU32270	CCI-PM-BAC-POS-GP	BSU32270
CPLX8J2-5		carbamoyl-phosphate synthetase A	BSU11230 // BSU11240		
BSU03385-MONOMER		hypothetical protein	BSU03385		BSU03385
BSU24000-MONOMER		putative lipid kinase BmrU	BSU24000		BSU24000
BSU27660-MONOMER		post-transcriptional regulator	BSU27660	CCI-CYTOSOL-GP	BSU27660
BSU35860-MONOMER		gamma-DD-glutamyl hydrolase (PGA depolymerase)	BSU35860	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU35860
CPLX8J2-34		succinyl CoA:3-oxoacid CoA-transferase	BSU38980 // BSU38990		
BSU12790-MONOMER		phage PBSX; putative enzyme	BSU12790	CCI-PM-BAC-POS-GP	BSU12790
BSU05600-MONOMER		protein <i>N</i>-acetyltransferase	BSU05600		BSU05600
BSU17630-MONOMER		putative sugar transporter	BSU17630	CCI-PM-BAC-POS-GP	BSU17630
BSU10250-MONOMER		lipoate-protein ligase	BSU10250	CCI-CYTOSOL-GP	BSU10250
CPLX8J2-259		small WGX100 secreted protein (ESX-dependent secretion)	BSU31910		
BSU22780-MONOMER		GTP cyclohydrolase I	BSU22780	CCI-CYTOSOL-GP	BSU22780
BSU31322-MONOMER		potassium channel protein involved in biofilm formation	BSU31322	CCI-PM-BAC-POS-GP	BSU31322
BSU34910-MONOMER		histidinol dehydrogenase	BSU34910	CCI-CYTOSOL-GP	BSU34910
BSU39490-MONOMER		putative ABC transporter membrane subunit YxeN	BSU39490	CCI-PM-BAC-POS-GP	BSU39490
CPLX8J2-24		chaperonin	BSU06020 // BSU06030		
BSU26430-MONOMER		two-component response regulator [YrkQ]	BSU26430	CCI-CYTOSOL-GP	BSU26430
BSU09300-MONOMER		sn-glycerol-3-phosphate oxidase (FAD-dependent)	BSU09300	CCI-CYTOSOL-GP	BSU09300
BSU03200-MONOMER		proline oxidase	BSU03200		BSU03200
BSU11230-MONOMER		arginine-specific carbamoyl-phosphate synthetase (small subunit)	BSU11230	CCI-CYTOSOL-GP	BSU11230
CPLX8J2-223		methyl-accepting chemotaxis protein	BSU31260		
BSU04440-MONOMER		membrane bound C4-dicarboxylate binding sensor protein	BSU04440	CCI-EXTRACELLULAR-GP	BSU04440
BSU38580-MONOMER		phosphotransferase system (PTS) lichenan-specific enzyme IIC component	BSU38580	CCI-PM-BAC-POS-GP	BSU38580
