Transcription-Units	Genes of transcription unit	Direction
TU1G01-174	G1G01-149 // G1G01-148 // G1G01-147 // G1G01-146	-
TU1G01-3450	G1G01-3223	-
TU1G01-4114	G1G01-3844 // G1G01-3843	-
TU1G01-7132	G1G01-1484	+
TU1G01-2402	G1G01-2262	-
TU1G01-4782	G1G01-4518	-
TU1G01-546	G1G01-513 // G1G01-512 // G1G01-511 // G1G01-510 // G1G01-509 // G1G01-508 // G1G01-507 // G1G01-506 // G1G01-505 // G1G01-504 // G1G01-503 // G1G01-502 // G1G01-501 // G1G01-500	+
TU1G01-6124	G1G01-5718	+
TU1G01-1710	G1G01-1611	-
TU1G01-3420	G1G01-3192	+
TU1G01-4084	G1G01-3817	+
TU1G01-7102	G1G01-1712	-
TU1G01-2376	G1G01-2246	+
TU1G01-4754	G1G01-4486	+
TU1G01-5430	G1G01-5118	-
TU1G01-6096	G1G01-5766	-
TU1G01-1680	G1G01-1586	+
TU1G01-3392	G1G01-3171	-
TU1G01-7074	G1G01-1841	-
TU1G01-2346	G1G01-2221	+
TU1G01-4060	G1G01-3803	-
TU1G01-4724	G1G01-4449	-
TU1G01-5400	G1G01-5099	+
TU1G01-6066	G1G01-5742 // G1G01-5741 // G1G01-5740	+
TU1G01-1652	G1G01-1560	+
TU1G01-3362	G1G01-3143	+
TU1G01-7044	G1G01-1926	+
TU1G01-2318	G1G01-2198	-
TU1G01-4032	G1G01-3781	+
TU1G01-4696	G1G01-4412	+
TU1G01-976	G1G01-911 // G1G01-910	+
TU1G01-538	G1G01-493	+
TU1G01-6038	G1G01-5695	+
TU1G01-1622	G1G01-1537 // G1G01-1536	-
TU1G01-3334	G1G01-3119	+
TU1G01-7016	G1G01-1979	-
TU1G01-2288	G1G01-2172	-
TU1G01-4002	G1G01-3757	-
TU1G01-4666	G1G01-4378	+
TU1G01-946	G1G01-883	+
TU1G01-5346	G1G01-5054 // G1G01-5053	-
TU1G01-6008	G1G01-5677	+
TU1G01-1596	G1G01-1514	-
TU1G01-6672	G1G01-3730	-
TU1G01-3304	G1G01-3092	+
TU1G01-6988	G1G01-2192	-
TU1G01-226	G1G01-185	+
TU1G01-3978	G1G01-3737	+
TU1G01-4638	G1G01-4355	+
TU1G01-918	G1G01-858	+
TU1G01-5318	G1G01-5023	+
TU1G01-5982	G1G01-5656 // G1G01-5655	-
TU1G01-1566	G1G01-1492 // G1G01-1491	-
TU1G01-6642	G1G01-3846	+
TU1G01-3276	G1G01-3073 // G1G01-3072	+
TU1G01-696	G1G01-676	-
TU1G01-2230	G1G01-2114	-
TU1G01-3948	G1G01-3703	-
TU1G01-4608	G1G01-4325 // G1G01-4324 // G1G01-4323	-
TU1G01-888	G1G01-836	-
TU1G01-5288	G1G01-4995	-
TU1G01-5954	G1G01-5628	-
TU1G01-1538	G1G01-1463	-
TU1G01-6614	G1G01-3909	+
TU1G01-3246	G1G01-3050 // G1G01-3049	+
TU1G01-1420	G1G01-1334 // G1G01-1333 // G1G01-1332	+
TU1G01-6930	G1G01-2397	+
TU1G01-2200	G1G01-2084	-
TU1G01-392	G1G01-352 // G1G01-351	+
TU1G01-4580	G1G01-4298	+
TU1G01-86	G1G01-65	+
TU1G01-526	G1G01-483 // G1G01-482 // G1G01-481 // G1G01-480 // G1G01-479	+
TU1G01-5924	G1G01-5608 // G1G01-5607	+
TU1G01-1508	G1G01-1440	+
TU1G01-6586	G1G01-3997	-
TU1G01-3218	G1G01-3029 // G1G01-3028 // G1G01-3027 // G1G01-3026 // G1G01-3025 // G1G01-3024 // G1G01-3023 // G1G01-3022	+
TU1G01-1394	G1G01-1312 // G1G01-1311 // G1G01-1310	+
TU1G01-6900	G1G01-2544	-
TU1G01-2174	G1G01-2068	+
TU1G01-3890	G1G01-3653 // G1G01-3652	-
TU1G01-4548	G1G01-4276 // G1G01-4275	-
TU1G01-830	G1G01-776	+
TU1G01-5230	G1G01-4941	+
TU1G01-5894	G1G01-5585 // G1G01-5584	-
TU1G01-148	G1G01-127	-
TU1G01-6558	G1G01-4070	-
TU1G01-3190	G1G01-2999 // G1G01-2998 // G1G01-2997	+
TU1G01-1364	G1G01-1281 // G1G01-1280	-
TU1G01-6872	G1G01-2631	-
TU1G01-2144	G1G01-2037	-
TU1G01-3860	G1G01-3631	+
TU1G01-4518	G1G01-4243 // G1G01-4242	+
TU1G01-800	G1G01-754	+
TU1G01-5200	G1G01-4910	-
TU1G01-5864	G1G01-5547 // G1G01-5546 // G1G01-5545 // G1G01-5544 // G1G01-5543	-
TU1G01-1448	G1G01-1364 // G1G01-1365 // G1G01-1366 // G1G01-1367 // G1G01-1375 // G1G01-1374 // G1G01-1373 // G1G01-1372 // G1G01-1371 // G1G01-1370 // G1G01-1369 // G1G01-1368	-
TU1G01-6528	G1G01-4183	-
TU1G01-3160	G1G01-2968	-
TU1G01-1336	G1G01-1262	+
TU1G01-6842	G1G01-2737	+
TU1G01-2116	G1G01-2006 // G1G01-2005	+
TU1G01-3832	G1G01-3601	+
TU1G01-4488	G1G01-4218	+
TU1G01-774	G1G01-741	+
TU1G01-5174	G1G01-4880	+
TU1G01-5836	G1G01-5525	-
TU1G01-650	G1G01-632	+
TU1G01-3132	G1G01-2932	+
TU1G01-1306	G1G01-1239	+
TU1G01-6814	G1G01-2901	+
TU1G01-2086	G1G01-1976	-
TU1G01-3802	G1G01-3569	-
TU1G01-446	G1G01-407	+
TU1G01-7458	G1G01-416	-
TU1G01-2752	G1G01-2586	-
TU1G01-5144	G1G01-4850	+
TU1G01-5806	G1G01-5488 // G1G01-5487	-
TU1G01-6470	G1G01-4462	+
TU1G01-3102	G1G01-2903	-
TU1G01-1278	G1G01-1223	-
TU1G01-6786	G1G01-3104	-
TU1G01-2058	G1G01-1953	-
TU1G01-3776	G1G01-3546	-
TU1G01-4430	G1G01-4171 // G1G01-4170 // G1G01-4169	+
TU1G01-7441	G1G01-3408 // G1G01-3409 // G1G01-3410	+
TU1G01-2722	G1G01-2557	+
TU1G01-5116	G1G01-4825	-
TU1G01-578	G1G01-553	-
TU1G01-6440	G1G01-4580	-
TU1G01-3074	G1G01-2866 // G1G01-2869 // G1G01-2868 // G1G01-2867	-
TU1G01-1246	G1G01-1192	-
TU1G01-6758	G1G01-3211	-
TU1G01-2028	G1G01-1933	-
TU1G01-3746	G1G01-3522	+
TU1G01-4400	G1G01-4119 // G1G01-4118	-
TU1G01-742	G1G01-716 // G1G01-715	+
TU1G01-2694	G1G01-2531 // G1G01-2530	-
TU1G01-5086	G1G01-4799	-
TU1G01-5750	G1G01-5427 // G1G01-5426 // G1G01-5425 // G1G01-5424 // G1G01-5423 // G1G01-5422 // G1G01-5421	-
TU1G01-6412	G1G01-4796	-
TU1G01-3040	G1G01-2840 // G1G01-2839 // G1G01-2838	+
TU1G01-1218	G1G01-1170	-
TU1G01-6728	G1G01-3455	+
TU1G01-200	G1G01-169	+
TU1G01-3718	G1G01-3480 // G1G01-3479 // G1G01-3478 // G1G01-3477 // G1G01-3476	+
TU1G01-4374	G1G01-4098	+
TU1G01-7392	G1G01-210	-
TU1G01-2664	G1G01-2493 // G1G01-2492 // G1G01-2491	-
TU1G01-5058	G1G01-4759	-
TU1G01-5720	G1G01-5399 // G1G01-5398 // G1G01-5397	-
TU1G01-6384	G1G01-4843	+
TU1G01-3012	G1G01-2820	+
TU1G01-1184	G1G01-1140 // G1G01-1139 // G1G01-1138	-
TU1G01-670	G1G01-646 // G1G01-645 // G1G01-644	-
TU1G01-1970	G1G01-1867	+
TU1G01-3688	G1G01-3452	+
TU1G01-4344	G1G01-4076	+
TU1G01-7362	G1G01-312	+
TU1G01-2636	G1G01-2471	-
TU1G01-5028	G1G01-4737	-
TU1G01-5692	G1G01-5371 // G1G01-5370	-
TU1G01-6356	G1G01-4908	-
TU1G01-2984	G1G01-2779	+
TU1G01-1156	G1G01-1100 // G1G01-1099	-
TU1G01-1940	G1G01-1844 // G1G01-1843	+
TU1G01-366	G1G01-328	+
TU1G01-4316	G1G01-4033	-
TU1G01-7334	G1G01-391	+
TU1G01-2606	G1G01-2454 // G1G01-2453	+
TU1G01-500	G1G01-459	+
TU1G01-5662	G1G01-5344 // G1G01-5343 // G1G01-5342	+
TU1G01-6326	G1G01-4959	-
TU1G01-2956	G1G01-2750	+
TU1G01-1124	G1G01-1068 // G1G01-1067	+
TU1G01-1912	G1G01-1818 // G1G01-1817	+
TU1G01-3628	G1G01-3397	+
