Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU02400-MONOMER	BSU02400	BSU02400	260123	261535	BSU02400	S-methylmethionine permease	CCI-PM-BAC-POS-GP
BSU25240-MONOMER	BSU25240	BSU25240	2604121	2604933	BSU25240	bifunctional serine/threonine kinase and phosphorylase involved in the regulation of glycolysis / guconeogenesis by catalyzing enzyme phosphorylation/dephosphorylation	CCI-CYTOSOL-GP
BSU29249-MONOMER	BSU29249	BSU29249	2995699	2995890	BSU29249	sporulation/competence-related protein	
BSU15230-MONOMER	BSU15230	BSU15230	1592663	1593574	BSU15230	UDP-N-acetylenolpyruvoylglucosamine reductase	CCI-CYTOSOL-GP
BSU19750-MONOMER	BSU19750	BSU19750	2146013	2146792	BSU19750	protein involved in maturation of the outermost layer of the spore	
BSU31310-MONOMER	BSU31310	BSU31310	3217496	3218173	BSU31310	putative metal-dependent protease/peptidase	CCI-PM-BAC-POS-GP
BSU22580-MONOMER	BSU22580	BSU22580	2365736	2366275	BSU22580	effector protein of MurAA and other substrates degradation by ClpC-ClpP	CCI-CYTOSOL-GP
BSU21130-MONOMER	BSU21130	BSU21130	2234233	2235669	BSU21130	conserved protein of unknown function; phage SPbeta	
BSU27510-MONOMER	BSU27510	BSU27510	2810559	2811698	BSU27510	cysteine desulfurase involved in U34 tRNA thiolation	CCI-CYTOSOL-GP
BSU21810-MONOMER	BSU21810	BSU21810	2296603	2297109	BSU21810	dihydrofolate reductase	CCI-CYTOSOL-GP
BSU28640-MONOMER	BSU28640	BSU28640	2929438	2930472	BSU28640	phenylalanyl-tRNA synthetase (alpha subunit)	CCI-CYTOSOL-GP
BSU23560-MONOMER	BSU23560	BSU23560	2452800	2454206	BSU23560	malate-H+/Na+-lactate antiporter	CCI-PM-BAC-POS-GP
BSU40960-MONOMER	BSU40960	BSU40960	4205556	4206404	BSU40960	site-specific DNA-binding protein (CTP-dpendent)	CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP
BSU33070-MONOMER	BSU33070	BSU33070	3393293	3394414	BSU33070	GerA germination receptor, GerAC component	CCI-PM-BAC-POS-GP
BSU03480-MONOMER	BSU03480	BSU03480	376968	387731	BSU03480	surfactin synthetase	CCI-CYTOSOL-GP
BSU13110-MONOMER	BSU13110	BSU13110	1377243	1378145	BSU13110	formyltetrahydrofolate hydrolase	
BSU16230-MONOMER	BSU16230	BSU16230	1695254	1695880	BSU16230	flagellar export apparatus negative regulator subunit of cytoplasmic ATPase	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU04670-MONOMER	BSU04670	BSU04670	519408	520232	BSU04670	component of the anxiosome (stressosome); positive regulation of sigma(B) activity in response to salt and heat stress	
CPLX8J2-29	BSU00750 // BSU00740		84290	84874	BSU00750 // BSU00740	4-amino-4-deoxychorismate synthase	
BSU30180-MONOMER	BSU30180	BSU30180	3088388	3089149	BSU30180	putative metabolite degradation enzyme	
BSU12749-MONOMER	BSU12749	BSU12749	1342955	1343227	BSU12749	phage PBSX; conserved hypothetical protein	
BSU20190-MONOMER	BSU20190	BSU20190	2169807	2169926	BSU20190	putative type I toxin; phage SPbeta	CCI-PM-BAC-POS-GP
BSU09100-MONOMER	BSU09100	BSU09100	984262	984465	BSU09100	major cold-shock protein, RNA helicase co-factor, RNA co-chaperone	CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP
CPLX-9491	BSU23130 // BSU23140		2417984	2419159	BSU23130 // BSU23140	holocytochrome-<em>c</em> synthase	
BSU37260-MONOMER	BSU37260	BSU37260	3824226	3824780	BSU37260	nitrate reductase molybdenum cofactor assembly chaperone NarJ	CCI-CYTOSOL-GP
BSU02370-MONOMER	BSU02370	BSU02370	257791	258498	BSU02370	transcriptional regulator-GlcN6P (GntR family)	
BSU30060-MONOMER	BSU30060	BSU30060	3075367	3076629	BSU30060	putative NAD(FAD)-utilizing dehydrogenase ; putative aminoacetone oxidase	CCI-CYTOSOL-GP
BSU40560-MONOMER	BSU40560	BSU40560	4169166	4169612	BSU40560	manganese-binding lipoprotein involved in manganese homeostasis	CCI-PM-BAC-POS-GP
BSU10830-MONOMER	BSU10830	BSU10830	1162267	1163130	BSU10830	putative transcriptional regulator (AraC/XylS family)	
BSU_31289-MONOMER	BSU_31289	BSU_31289	3214212	3214346	BSU_31289	hypothetical protein	
BSU21320-MONOMER	BSU21320	BSU21320	2246656	2247342	BSU21320	conserved exported protein of unknown function; phage SPbeta	
BSU33820-MONOMER	BSU33820	BSU33820	3469184	3469837	BSU33820	glycine betaine/carnitine/choline/choline sulfate ABC transporter, membrane subunit OpuCB	CCI-PM-BAC-POS-GP
MONOMER8J2-12	BSU33020	BSU33020	3386398	3387753	BSU33020	CssS two-component sensory histidine kinase, phosphorylated	
BSU19590-MONOMER	BSU19590	BSU19590	2131902	2133302	BSU19590	carboxy-terminal processing protease (Prc homolog, tail specific protease) involved in DNA damage recovery	CCI-PM-BAC-POS-GP
BSU18540-MONOMER	BSU18540	BSU18540	2021223	2022467	BSU18540	negatively charged metabolite (2-ketoglutarate) / proton symporter	CCI-PM-BAC-POS-GP
BSU11980-MONOMER	BSU11980	BSU11980	1268829	1269584	BSU11980	putative acyl-carrier protein oxidoreductase; phage island	
BSU33200-MONOMER	BSU33200	BSU33200	3405664	3406542	BSU33200	putative sugar lactone or thiolactone lactonase	CCI-CYTOSOL-GP
BSU18160-MONOMER	BSU18160	BSU18160	1944113	1945654	BSU18160	arabinoxylan arabinofuranohydrolase	CCI-EXTRACELLULAR-GP
BSU40550-MONOMER	BSU40550	BSU40550	4168204	4169133	BSU40550	inorganic pyrophosphatase (Mn2+-dependent)	CCI-CYTOSOL-GP
BSU32470-MONOMER	BSU32470	BSU32470	3335751	3336272	BSU32470	xanthine dehydrogenase, iron-sulfur subunit	
CPLX8J2-72	BSU11470 // BSU11460 // BSU11450 // BSU11440 // BSU11430		1224533	1225450	BSU11470 // BSU11460 // BSU11450 // BSU11440 // BSU11430	oligopeptide ABC transporter	
BSU12350-MONOMER	BSU12350	BSU12350	1306562	1307398	BSU12350	fructuronate reductase	
BSU08680-MONOMER	BSU08680	BSU08680	938731	939261	BSU08680	putative RNA binding factor	
BSU15480-MONOMER	BSU15480	BSU15480	1619023	1620330	BSU15480	uracil permease	CCI-PM-BAC-POS-GP
BSU14220-MONOMER	BSU14220	BSU14220	1492261	1492803	BSU14220	biofilm-specific peroxidase; 2-cys peroxiredoxin	CCI-CYTOSOL-GP
BSU11880-MONOMER	BSU11880	BSU11880	1259606	1260778	BSU11880	cystathionine beta-lyase (PLP-dependent, promiscuous)	CCI-CYTOSOL-GP
BSU29340-MONOMER	BSU29340	BSU29340	3004346	3005125	BSU29340	S-alkyl cysteine ABC transporter ATP-binding protein TcyN	CCI-PM-BAC-POS-GP
BSU35590-MONOMER	BSU35590	BSU35590	3655586	3656755	BSU35590	putative glycosyltransferase (teichuronic acid)	
BSU21650-MONOMER	BSU21650	BSU21650	2283858	2284568	BSU21650	putative lipoprotein; phage SPbeta	CCI-PM-BAC-POS-GP
BSU15270-MONOMER	BSU15270	BSU15270	1595935	1596300	BSU15270	putative integral inner membrane protein (small basic protein)	CCI-PM-BAC-POS-GP
BSU40100-MONOMER	BSU40100	BSU40100	4119527	4121056	BSU40100	alkyl hydroperoxide reductase (large subunit)	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU02320-MONOMER	BSU02320	BSU02320	251427	252314	BSU02320	putative transcriptional regulator (AraC/XylS family)	
BSU22180-MONOMER	BSU22180	BSU22180	2331779	2332075	BSU22180	cell cycle regulator (cytosolic adaptor for multiple cell wall enzymes)	CCI-CYTOSOL-GP
BSU27320-MONOMER	BSU27320	BSU27320	2791494	2791967	BSU27320	transcription elongation factor resolving backtracking / stalling	
CPLX8J2-88	BSU11720	BSU11720	1247788	1248564	BSU11720		
BSU34440-MONOMER	BSU34440	BSU34440	3534118	3535473	BSU34440	penicillin-binding protein 4*, putative peptidase	CCI-PM-BAC-POS-GP
BSU16660-MONOMER	BSU16660	BSU16660	1736886	1737815	BSU16660	tRNA pseudouridine 55 synthase	
BSU11100-MONOMER	BSU11100	BSU11100	1186037	1187653	BSU11100	extracellular neutral protease B	CCI-EXTRACELLULAR-GP
BSU37070-MONOMER	BSU37070	BSU37070	3803081	3803281	BSU37070	ribosomal protein L31	CCI-RIBOSOME-GP
CPLX8J2-185	BSU04090 // BSU04050 // BSU04080		460592	461599	BSU04090 // BSU04050 // BSU04080	5-oxoprolinase	
BSU10840-MONOMER	BSU10840	BSU10840	1163148	1164161	BSU10840	transcriptional repressor of iolX (LacI family)	
MONOMER8J2-133	BSU34710	BSU34710	3566358	3567428	BSU34710	PsdS-<i>N</i>-phospho-L-histidine	CCI-PM-BAC-POS-GP
BSU40060-MONOMER	BSU40060	BSU40060	4114141	4115682	BSU40060	D-gluconate kinase	
BSU10550-MONOMER	BSU10550	BSU10550	1128286	1129611	BSU10550	biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha, beta-trehalose);3-oxo-glucose-6-phosphate:glutamate aminotransferase; kanosamine aminotransferase (recent HGT island)	
BSU13590-MONOMER	BSU13590	BSU13590	1427061	1428278	BSU13590	2,3-diketo-5-methylthiopentyl-1-phosphate enolase (DK-MTP-1-P enolase)	
BSU40460-MONOMER	BSU40460	BSU40460	4159253	4159456	BSU40460	conserved sporulation-related protein of unknown function	
BSU22880-MONOMER	BSU22880	BSU22880	2394664	2395812	BSU22880	RNA degradation presenting factor (ribosomal protein S1 homolog)	CCI-RIBOSOME-GP
BSU07260-MONOMER	BSU07260	BSU07260	796314	798233	BSU07260	exported polyglycerol phosphate lipoteichoic acid synthetase and anion-binding protein	CCI-PM-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU08360-MONOMER	BSU08360	BSU08360	910840	911928	BSU08360	acetyl-glucosamine metabolite exporter O-acetylase component for poly-beta-1,6-N-acetyl-d-glucosamine involved in biofilm formation	CCI-PM-BAC-POS-GP
BSU33350-MONOMER	BSU33350	BSU33350	3421772	3422254	BSU33350	putative membrane hydrolase	CCI-PM-BAC-POS-GP
BSU27330-MONOMER	BSU27330	BSU27330	2792218	2792853	BSU27330	uridine kinase	CCI-CYTOSOL-GP
BSU07870-MONOMER	BSU07870	BSU07870	861586	861801	BSU07870	conserved hypothetical protein	
BSU14560-MONOMER	BSU14560	BSU14560	1526195	1526749	BSU14560	N-formyl-cysteine deformylase / N-formyl peptide deformylase (promiscuous)	CCI-CYTOSOL-GP
BSU20570-MONOMER	BSU20570	BSU20570	2195564	2195782	BSU20570	consserved hypothetical protein; phage SPbeta	
BSU13240-MONOMER	BSU13240	BSU13240	1391040	1391642	BSU13240	thiamine-binding protein (salvage pathway)	CCI-CYTOSOL-GP
BSU11280-MONOMER	BSU11280	BSU11280	1205165	1205899	BSU11280	conserved hypothetical protein involved in sporulation	CCI-CYTOSOL-GP
BSU39450-MONOMER	BSU39450	BSU39450	4054354	4055466	BSU39450	putative ethanolamine permease	CCI-PM-BAC-POS-GP
BSU14150-MONOMER	BSU14150	BSU14150	1487038	1487514	BSU14150	short-chain flavodoxin (acts in lipid desaturation)	
BSU_26305-MONOMER	BSU_26305	BSU_26305	2697249	2697422	BSU_26305	hypothetical protein; skin element	
BSU26480-MONOMER	BSU26480	BSU26480	2708943	2709419	BSU26480	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU23070-MONOMER	BSU23070	BSU23070	2411086	2412663	BSU23070	3-phosphoglycerate dehydrogenase	CCI-CYTOSOL-GP
BSU32010-MONOMER	BSU32010	BSU32010	3292490	3293359	BSU32010	bacillibactin trilactone hydrolase	CCI-CYTOSOL-GP
BSU02480-MONOMER	BSU02480	BSU02480	270396	271763	BSU02480	glucarate/proton transporter	CCI-PM-BAC-POS-GP
BSU02290-MONOMER	BSU02290	BSU02290	248749	249540	BSU02290	phosphatidylserine decarboxylase proenzyme; 32 kDa precursor processed into a 29 kDa protein	CCI-PM-BAC-POS-GP
BSU33050-MONOMER	BSU33050	BSU33050	3390782	3392230	BSU33050	component of the GerA germination receptor (alanine / valine sensing)	CCI-PM-BAC-POS-GP
BSU18190-MONOMER	BSU18190	BSU18190	1947668	1948264	BSU18190	undecaprenylphosphate transporter	CCI-PM-BAC-POS-GP
BSU16440-MONOMER	BSU16440	BSU16440	1714855	1715325	BSU16440	modulator of CheA activity in response to attractants (chemotaxis)	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU17280-MONOMER	BSU17280	BSU17280	1864225	1864677	BSU17280	putative peroxiredoxin-related protein	
BSU12290-MONOMER	BSU12290	BSU12290	1299074	1300252	BSU12290	NADH dehydrogenase II (not pumping protons)	CCI-PM-BAC-POS-GP
CPLX8J2-159	BSU08310 // BSU08320 // BSU08330		905816	906751	BSU08310 // BSU08320 // BSU08330	putative ABC exporter, linearmycin resistance	
BSU37450-MONOMER	BSU37450	BSU37450	3844416	3845771	BSU37450	factor interacting with DNA helicase PcrA	
BSU40340-MONOMER	BSU40340	BSU40340	4144301	4145506	BSU40340	ornithine aminotransferase	CCI-CYTOSOL-GP
BSU02300-MONOMER	BSU02300	BSU02300	249595	249873	BSU02300	conserved protein of unknown function	
BSU40710-MONOMER	BSU40710	BSU40710	4183445	4183897	BSU40710	transcriptional regulator (MarR family, polyamine export and degradation)	
BSU00520-MONOMER	BSU00520	BSU00520	58783	59397	BSU00520	ribosomal protein BL25 (Ctc), binding 5S RNA	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
BSU36920-MONOMER	BSU36920	BSU36920	3791199	3791648	BSU36920	D-ribose 5-phosphate epimerase (promiscuous)	
BSU34200-MONOMER	BSU34200	BSU34200	3512498	3513808	BSU34200	RNA polymerase sigma-54 factor (sigma-L)	
BSU19730-MONOMER	BSU19730	BSU19730	2143660	2144349	BSU19730	putative oxoacid CoA-transferase subunit alpha	CCI-CYTOSOL-GP
BSU38720-MONOMER	BSU38720	BSU38720	3972448	3973278	BSU38720	NAD(P)H dehydratase	CCI-CYTOSOL-GP
BSU38300-MONOMER	BSU38300	BSU38300	3931372	3932190	BSU38300	5-(2-hydroxyethyl)-4-methylthiazole kinase	CCI-CYTOSOL-GP
BSU20110-MONOMER	BSU20110	BSU20110	2166873	2167007	BSU20110	hypothetical protein; phage SPbeta	
BSU39120-MONOMER	BSU39120	BSU39120	4017508	4018656	BSU39120	pectin acetylesterase	CCI-PM-BAC-POS-GP
BSU34620-MONOMER	BSU34620	BSU34620	3555902	3557671	BSU34620	glucan 1,4-alpha-maltohydrolase	CCI-CYTOSOL-GP
BSU30650-MONOMER	BSU30650	BSU30650	3136238	3136675	BSU30650	DNA-protecting protein, mini-ferritin	
BSU40270-MONOMER	BSU40270	BSU40270	4137626	4138789	BSU40270	conserved hypothetical protein	
BSU33590-MONOMER	BSU33590	BSU33590	3449732	3450526	BSU33590	putative oxidoreductase	
BSU03370-MONOMER	BSU03370	BSU03370	367305	367985	BSU03370	putative amino acid ABC transporter, membrane protein YckA	CCI-PM-BAC-POS-GP
BSU00480-MONOMER	BSU00480	BSU00480	55295	55672	BSU00480	aminoacrylate/iminopropionate hydrolase/deaminase	CCI-CYTOSOL-GP
BSU24900-MONOMER	BSU24900	BSU24900	2574408	2574557	BSU24900	ribosomal protein L33	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
BSU30630-MONOMER	BSU30630	BSU30630	3134983	3135459	BSU30630	NAD-capped RNA decapping enzyme; nucleoside and RNA triphosphate phosphohydrolase	CCI-CYTOSOL-GP
BSU28100-MONOMER	BSU28100	BSU28100	2869964	2870989	BSU28100	spore coat protein	
BSU06330-MONOMER	BSU06330	BSU06330	688184	689146	BSU06330	putative MoxR-like ATPase	
BSU40670-MONOMER	BSU40670	BSU40670	4180564	4181442	BSU40670	putative transcriptional regulator (LysR family)	CCI-CYTOSOL-GP
BSU33830-MONOMER	BSU33830	BSU33830	3469860	3471002	BSU33830	glycine betaine/carnitine/choline/choline ABC transporter (ATP-binding protein)	CCI-PM-BAC-POS-GP
BSU40760-MONOMER	BSU40760	BSU40760	4186608	4187174	BSU40760	putative oxidoreductase	CCI-PM-BAC-POS-GP
BSU40259-MONOMER	BSU40259	BSU40259	4137087	4137257	BSU40259	protein involved in germination	CCI-PM-BAC-POS-GP
BSU08760-MONOMER	BSU08760	BSU08760	953373	954149	BSU08760	protein involved in the control of the cell cycle as a function of the environment	
BSU37670-MONOMER	BSU37670	BSU37670	3866596	3867360	BSU37670	iron-coproporphyrin (coproheme) decarboxylase	CCI-CYTOSOL-GP
BSU33580-MONOMER	BSU33580	BSU33580	3449049	3449621	BSU33580	putative transcriptional regulator	
BSU32610-MONOMER	BSU32610	BSU32610	3351110	3352096	BSU32610	fructosevaline-6-phosphate deglycase	CCI-CYTOSOL-GP
BSU33250-MONOMER	BSU33250	BSU33250	3411684	3412094	BSU33250	acid stress-sensitive anti sigma factor	CCI-PM-BAC-POS-GP
BSU25920-MONOMER	BSU25920	BSU25920	2665903	2666796	BSU25920	lytic viral enzyme disrupting the proton motive force; skin element	
BSU26530-MONOMER	BSU26530	BSU26530	2712577	2713134	BSU26530	putative rhodanese-related sulfur transferase	
BSU17660-MONOMER	BSU17660	BSU17660	1900080	1900514	BSU17660	deoxyuridine 5'-triphosphate pyrophosphatase; defective SPbeta-like phage region	
BSU01590-MONOMER	BSU01590	BSU01590	178665	179585	BSU01590	putative sodium dependent transporter	CCI-PM-BAC-POS-GP
BSU13620-MONOMER	BSU13620	BSU13620	1429584	1430120	BSU13620	acireductone dioxygenase (Ni2+ or Fe2+-requiring)	
BSU28130-MONOMER	BSU28130	BSU28130	2874202	2875176	BSU28130	delta-aminolevulinic acid dehydratase (porphobilinogen synthase)	CCI-CYTOSOL-GP
BSU31680-MONOMER	BSU31680	BSU31680	3252804	3253448	BSU31680	ComA two-component response regulator	CCI-CYTOSOL-GP
BSU36490-MONOMER	BSU36490	BSU36490	3755291	3755860	BSU36490	putative enzyme of isochorismatase family	
BSU03788-MONOMER	BSU03788	BSU03788	430185	430274	BSU03788	putative type I toxin	CCI-PM-BAC-POS-GP
BSU11670-MONOMER	BSU11670	BSU11670	1243735	1244844	BSU11670	glycine oxidase monomer	CCI-CYTOSOL-GP
BSU13370-MONOMER	BSU13370	BSU13370	1400767	1401579	BSU13370	putative metallophosphoesterase	
BSU06319-MONOMER	BSU06319	BSU06319	686602	686889	BSU06319	hypothetical protein	
BSU00590-MONOMER	BSU00590	BSU00590	67877	68137	BSU00590	ribosomal quality control associated RNA P-site tRNA binding protein involved in 50S recycling; heat shock protein	CCI-CYTOSOL-GP
BSU39230-MONOMER	BSU39230	BSU39230	4023544	4030548	BSU39230	cell wall-associated tRNA nuclease precursor; intercellular growth inhibitor	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU39300-MONOMER	BSU39300	BSU39300	4036784	4038493	BSU39300	nuclease type II toxin of the RtxD-AtxE toxin-antitoxin system	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU03110-MONOMER	BSU03110	BSU03110	336092	337432	BSU03110	putative amino acid transporter	CCI-PM-BAC-POS-GP
BSU38780-MONOMER	BSU38780	BSU38780	3981227	3982915	BSU38780	putative membrane protease	CCI-PM-BAC-POS-GP
BSU12700-MONOMER	BSU12700	BSU12700	1339632	1340609	BSU12700	phage PBSX; putative cell wall hydrolase	
BSU35240-MONOMER	BSU35240	BSU35240	3622356	3623798	BSU35240	PDZ-containing carboxyl-terminal protease processing protease [Zn(II)]	
CPLX8J2-200	BSU27360	BSU27360	2795082	2795735	BSU27360		
BSU21050-MONOMER	BSU21050	BSU21050	2225337	2225615	BSU21050	HU-related DNA-binding protein; phage SPbeta	CCI-CYTOSOL-GP
BSU31760-MONOMER	BSU31760	BSU31760	3260891	3261442	BSU31760	nicotinamidase / pyrazinamidase; NAD salvage pathway	CCI-CYTOSOL-GP
BSU16330-MONOMER	BSU16330	BSU16330	1703834	1704196	BSU16330	regulator of chemotaxis and motility	CCI-CYTOSOL-GP
BSU00450-MONOMER	BSU00450	BSU00450	53183	53368	BSU00450	small acid-soluble spore protein (alpha/beta-type SASP)	
BSU21040-MONOMER	BSU21040	BSU21040	2222574	2225093	BSU21040	DNA-dependent RNA polymerase; phage SPbeta	CCI-CYTOSOL-GP
CPLX8J2-93	BSU33830 // BSU33820 // BSU33810 // BSU33800		3469860	3471002	BSU33830 // BSU33820 // BSU33810 // BSU33800	glycine betaine/carnitine/choline/choline sulfate ABC transporter	CCI-PM-BAC-POS-GP
BSU25620-MONOMER	BSU25620	BSU25620	2642841	2643197	BSU25620	ribosomal silencing factor	CCI-CYTOSOL-GP
BSU30035-MONOMER	BSU30035	BSU30035	3072743	3073462	BSU30035	16S rRNA pseudouridylate 516 synthase	
BSU25470-MONOMER	BSU25470	BSU25470	2626112	2627947	BSU25470	molecular chaperone, ATP-dependent	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU37500-MONOMER	BSU37500	BSU37500	3848786	3849616	BSU37500	spermidine synthase; polyamine metabolism	CCI-CYTOSOL-GP
BSU01560-MONOMER	BSU01560	BSU01560	159182	159778	BSU01560	inner membrane protein involved in activation of the KinB signaling pathway to sporulation	CCI-PM-BAC-POS-GP
BSU36200-MONOMER	BSU36200	BSU36200	3727427	3727687	BSU36200	conserved protein of unknown function in a toxin-antitoxin island	
BSU36940-MONOMER	BSU36940	BSU36940	3792333	3792890	BSU36940	manganese efflux pump	CCI-PM-BAC-POS-GP
BSU25940-MONOMER	BSU25940	BSU25940	2667045	2667380	BSU25940	conserved phage protein of unknown function; skin element	
BSU31970-MONOMER	BSU31970	BSU31970	3287675	3288613	BSU31970	isochorismatase (siderophore specific)	
BSU38980-MONOMER	BSU38980	BSU38980	4001329	4001979	BSU38980	succinyl-CoA:3-ketoacid coenzyme A transferase (subunit B)	CCI-CYTOSOL-GP
BSU18720-MONOMER	BSU18720	BSU18720	2041928	2042839	BSU18720	putative spore-related factor for cell wall maintenance or synthesis; putative defective prophage 6	
BSU11580-MONOMER	BSU11580	BSU11580	1235912	1236484	BSU11580	RNA/thiamine triphosphatase decapping enzyme	CCI-CYTOSOL-GP
BSU23880-MONOMER	BSU23880	BSU23880	2483586	2483873	BSU23880	regulator of SecXB translation	CCI-PM-BAC-POS-GP
BSU40940-MONOMER	BSU40940	BSU40940	4203424	4204440	BSU40940	putative sporulation-related transporter	CCI-PM-BAC-POS-GP
BSU35570-MONOMER	BSU35570	BSU35570	3652588	3654054	BSU35570	putative polymerase of teichuronic acid repeating units	CCI-PM-BAC-POS-GP
BSU17590-MONOMER	BSU17590	BSU17590	1890512	1891666	BSU17590	transcriptional regulator of the xylA-xylB and xynP-xynB operons; defective SPbeta-like phage region	CCI-CYTOSOL-GP
BSU01340-MONOMER	BSU01340	BSU01340	143875	144054	BSU01340	ribosomal protein L30 (BL27)	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
BSU35180-MONOMER	BSU35180	BSU35180	3615116	3615346	BSU35180	general stress protein	CCI-PM-BAC-POS-GP
BSU10370-MONOMER	BSU10370	BSU10370	1111925	1112485	BSU10370	ECF transporter, pantothenate-binding S protein PanU	CCI-PM-BAC-POS-GP
BSU13790-MONOMER	BSU13790	BSU13790	1445638	1446336	BSU13790	putative sporulation-specific glycosylase (HGT island)	
CPLX8J2-57	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU34200		1524791	1525000	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU34200	RNA polymerase, &sigma;L	
BSU24560-MONOMER	BSU24560	BSU24560	2546869	2548215	BSU24560	glycine decarboxylase (subunit 1) (glycine cleavage system protein P)	
CPLX8J2-317	BSU29740 // BSU13900		3044165	3045169	BSU29740 // BSU13900	[CcpA]<sub>2</sub>-[HPr -P<sup>Ser46</sup>]<sub>2</sub> complex	
BSU03390-MONOMER	BSU03390	BSU03390	369236	369691	BSU03390	conserved integral membrane protein of unknown function	CCI-PM-BAC-POS-GP
BSU08770-MONOMER	BSU08770	BSU08770	954291	954494	BSU08770	putative lantibiotic modification enzyme	
BSU12230-MONOMER	BSU12230	BSU12230	1294138	1294950	BSU12230	putative enzyme	
